Flight Card,,,,,
,,,,,
Description,Field,LOBO1,PYTHON7,,Notes
Template file name,KBB Template,KBT_Flight_Card.svg,KBT_Flight_Card.svg,,"Template file name, must be ""KBT_Bases.svg"" for airbase information card kneeboards"
Output file base name,KBB Output,00_TW7_LO1_Flight_Card,00_TW7_PN7_Flight_Card,,"Base name for output files, ""FLIGHT"" is replaced with flight name from flight's column heading. If empty, default is the template name with _FLIGHT."
,,,,,
Card Title,Card Title,TW 7: LOBO1 Flight Card,TW 7: PYTHON7 Flight Card,`,"Optional title for card header, can be blank"
Card version,Card Version,"v1.2, 21-FEB-25","v1.1, 22-FEB-25",,"Optional version number for card footer, can be blank"
,,,,,
Hack time,Hack,0000Z / 0300L,0000Z / 0300L,,
Mission type,Mission Type,Strike,"SEAD, DEAD",,
Acceptable level of risk,ALR,HIGH,Medium,,
JOKER fuel state,Fuel JOKER,3000,4200,,
BINGO fuel state,Fuel BINGO,2000,3200,,
EMER fuel state,Fuel EMER,1000,2000,,
Threat summary (2 lines),Threats,"A2G: Target area with multiple S2A WEZ: SA10, SA11, SA15, SA19
A2A: MiG-29S, MiG-31, Su-30, Su-33 operating in AO","A2G: Target area with multiple S2A WEZ: SA10, SA11, SA15, SA19
A2A: MiG-29S, MiG-31, Su-30, Su-33 operating in AO",,"Threats may be up to two lines, line breaks match those in the value cell"
Abbreviated flight name,FL,LO1,PN7,,"First + last letter of flight name followed by flight number (for example, ""PN2"" for ""PYTHON2"")"
-1 Pilot callsign,Pilot 1,Raven,Drafty,,
-1 Pilot ID,T 1,67327,67161,,Pilot identifier (5 characters) such as TNDL
-1 Aircraft loadout,Loadout 1,2WT / L / 200+6060 / 2A65G,2WT / HLE / 200+6060 / 4G38,,"Use SCL format, may include notes such as laser codes as required"
-2 Pilot callsign,Pilot 2,Rage,Jenga,,
-2 Pilot TNDL,T 2,67333,67312,,Pilot identifier (5 characters) such as TNDL
-2 Aircraft loadout,Loadout 2,2WT / L / 200+6060 / 2A65G,2WT / HLE / 200+6060 / 4G38,,"Use SCL format, may include notes such as laser codes as required"
-3 Pilot callsign,Pilot 3,,,,
-3 Pilot TNDL,T 3,,,,Pilot identifier (5 characters) such as TNDL
-3 Aircraft loadout,Loadout 3,,,,"Use SCL format, may include notes such as laser codes as required"
-4 Pilot callsign,Pilot 4,,,,
-4 Pilot TNDL,T 4,,,,Pilot identifier (5 characters) such as TNDL
-4 Aircraft loadout,Loadout 4,,,,"Use SCL format, may include notes such as laser codes as required"
,,,,,
